10933, 2024-03-04, "Solo", 101, "An intimate character study set against Montreal’s vibrant drag scene as Simon, whose drag alter-ego is a hit, finds himself questioning his relationship with a fellow drag star after his mum arrives back in his life.  Simon (Théodore Pelleri) has a successful day job as a make-up artist, while his drag queen alter-ego Glory Gore is on the rise in Montreal’s vibrant Queer scene. When he embarks on an intense relationship with fellow drag star Olivier (Félix Maritaud), it seems to be the passion that he’s looking for. However, things begin to change when his estranged mum Clare (Anne-Marie Cadieux) - a famous opera singer - unexpectedly shows up. Simon’s relationship with his mum calls him to question the nature of his bond with Olivier. Featuring fabulous drag performances on stage, Sophie Dupuis also paints an intimate character study off it.   French with English subtitles.", "Théodore Pellerin, Félix Maritaud, Alice Moreault", "Drama", "N/C 15+", "Emotional Abuse, Drug Use, Strong Language"
11128, 2024-03-03, "The Dead Don't Hurt", 129, "Sunday 3 March 18:45 The Dead Don’t Hurt  Viggo Mortensen writes, directs and stars in this original take on the classic Western, in a story that centres on the adventurous life of fiercely independent Vivienne Le Coudy, played by Vicky Krieps.  Viggo Mortensen heads back to the 1860s for this moving romantic Western. Vicky Krieps stars as French-Canadian Vivenne, who falls for Danish immigrant Holger Olsen (Mortensen). The pair move to a frontier town in Nevada as the threat of the Civil War looms. When Holger decides to fight for the Union, Vivienne faces serious threats on the home front, courtesy of the town’s corrupt mayor (Danny Huston), his rancher business partner (Garret Dillahunt) and the rancher’s violent son (Solly McLeod). Elegantly crafted and featuring powerhouse performances from Krieps and Mortensen, the actor-turned-writer/director delivers an emotionally satisfying drama.  In English, French and Spanish with English subtitles", "Vicky Krieps, Viggo Mortensen, Solly McLeod", "Western", "N/C 15+", "Violence, Murder, Strong Language, Blood, Mild nudity, Mild sexual references, Racism / discrimination / slurs"
11128, 2024-03-04, "The Dead Don't Hurt", 129, "Sunday 3 March 18:45 The Dead Don’t Hurt  Viggo Mortensen writes, directs and stars in this original take on the classic Western, in a story that centres on the adventurous life of fiercely independent Vivienne Le Coudy, played by Vicky Krieps.  Viggo Mortensen heads back to the 1860s for this moving romantic Western. Vicky Krieps stars as French-Canadian Vivenne, who falls for Danish immigrant Holger Olsen (Mortensen). The pair move to a frontier town in Nevada as the threat of the Civil War looms. When Holger decides to fight for the Union, Vivienne faces serious threats on the home front, courtesy of the town’s corrupt mayor (Danny Huston), his rancher business partner (Garret Dillahunt) and the rancher’s violent son (Solly McLeod). Elegantly crafted and featuring powerhouse performances from Krieps and Mortensen, the actor-turned-writer/director delivers an emotionally satisfying drama.  In English, French and Spanish with English subtitles", "Vicky Krieps, Viggo Mortensen, Solly McLeod", "Western", "N/C 15+", "Violence, Murder, Strong Language, Blood, Mild nudity, Mild sexual references, Racism / discrimination / slurs"
11131, 2024-03-03, "Woken", 90, "Set in the near-future, this psychological sci-fi thriller stars Erin Kellyman (Solo: A Star Wars Story) as Anna, a pregnant woman who wakes up on an island with no recollection of anyone she’s living with — including her husband.   Alan Friel’s twisty debut follows Anna as she becomes increasingly suspicious of those around her, including Helen (Maxine Peake) and James (Ivanno Jeremiah) who are supposedly helping her recuperate. As new arrivals trigger violence, she is forced to question everything she knows in a fight for both her life and that of her unborn baby.  Thanks to Bankside Films", "Erin Kellyman, Maxine Peake, Ivanno Jeremiah", "Sci-Fi", "N/C 18+", "Body Horror, Violence, Murder, Strong Language, Loss of child, Blood"
11131, 2024-03-04, "Woken", 90, "Set in the near-future, this psychological sci-fi thriller stars Erin Kellyman (Solo: A Star Wars Story) as Anna, a pregnant woman who wakes up on an island with no recollection of anyone she’s living with — including her husband.   Alan Friel’s twisty debut follows Anna as she becomes increasingly suspicious of those around her, including Helen (Maxine Peake) and James (Ivanno Jeremiah) who are supposedly helping her recuperate. As new arrivals trigger violence, she is forced to question everything she knows in a fight for both her life and that of her unborn baby.  Thanks to Bankside Films", "Erin Kellyman, Maxine Peake, Ivanno Jeremiah", "Sci-Fi", "N/C 18+", "Body Horror, Violence, Murder, Strong Language, Loss of child, Blood"
11134, 2024-03-03, "Is There Any Place For Me, Please?", 77, "Shot over the course of nine years, this affecting documentary charts the life of acid attack survivor Martina Půtová, the challenges she faces and her activism in helping others.  Shot over the course of nine years, this sensitive and affecting documentary charts the life of acid attack survivor Martina Půtová. Assaulted by her ex-boyfriend, Martina was lucky to survive but suffered major facial scarring and lost her sight as a result. This film charts her journey, showing the physical and emotional challenges she has met along the way but also capturing her strength of spirit as she rebuilds her life. This is not just a tale of personal courage but one of activism. Jarmila Štuková follows Martina as she co-founds an organisation that supports other burn victims.               English and Czech with English subtitles.", " Martina Izingová", "Documentary", "N/C 15+", "Strong Language"
11134, 2024-03-04, "Is There Any Place For Me, Please?", 77, "Shot over the course of nine years, this affecting documentary charts the life of acid attack survivor Martina Půtová, the challenges she faces and her activism in helping others.  Shot over the course of nine years, this sensitive and affecting documentary charts the life of acid attack survivor Martina Půtová. Assaulted by her ex-boyfriend, Martina was lucky to survive but suffered major facial scarring and lost her sight as a result. This film charts her journey, showing the physical and emotional challenges she has met along the way but also capturing her strength of spirit as she rebuilds her life. This is not just a tale of personal courage but one of activism. Jarmila Štuková follows Martina as she co-founds an organisation that supports other burn victims.               English and Czech with English subtitles.", " Martina Izingová", "Documentary", "N/C 15+", "Strong Language"
11166, 2024-03-03, "Billy Connolly: Big Banana Feet", 77, "Rarely seen since its initial release, this documentary follows Billy Connolly on his 1975 Irish tour. A comedy charmer, which can now be seen in all its glory thanks to a BFI restoration.  The Big Yin - complete with banana boots - was hitting the big-time when this film followed him on his 1975 Irish tour, which culminated in his famous engagement at the ABC Cinema in Belfast during the Troubles. Rarely screened since its initial release, the film can now be seen in its full glory. In addition to showcasing Connolly’s comic and musical talent, it also captures his natural charm off-stage. This loving restoration by the BFI was undertaken in collaboration with Murray Grigor, Douglas Weir, National Library of Scotland, University of California and R3Store Studios, using the only 16mm print known to exist.", "Billy Connolly", "Documentary", "N/C 18+", "Strong Language"
11166, 2024-03-04, "Billy Connolly: Big Banana Feet", 77, "Rarely seen since its initial release, this documentary follows Billy Connolly on his 1975 Irish tour. A comedy charmer, which can now be seen in all its glory thanks to a BFI restoration.  The Big Yin - complete with banana boots - was hitting the big-time when this film followed him on his 1975 Irish tour, which culminated in his famous engagement at the ABC Cinema in Belfast during the Troubles. Rarely screened since its initial release, the film can now be seen in its full glory. In addition to showcasing Connolly’s comic and musical talent, it also captures his natural charm off-stage. This loving restoration by the BFI was undertaken in collaboration with Murray Grigor, Douglas Weir, National Library of Scotland, University of California and R3Store Studios, using the only 16mm print known to exist.", "Billy Connolly", "Documentary", "N/C 18+", "Strong Language"
11199, 2024-03-03, "Opus: Ryuichi Sakamoto", 103, "Composer Ryuichi Sakamoto takes centre stage with his piano in this intimate and moving concert-style film featuring music from across his whole career.  Oscar-winning Japanese composer Ryuichi Sakamoto found his way to the hearts of millions with his music, including his scores for films as diverse as Merry Christmas, Mr. Lawrence, The Last Emperor and The Revenant. He died from cancer at the age of 71 in March 2023, and in this intimate concert-style film his son Neo Sora gracefully captures one of his father’s final performances with a piano. Featuring music specially selected by Sakamoto, stretching back to his time with the Yellow Magic Orchestra, this is an elegant and elegiac journey through the maestro’s long and varied career.    Japanese with English subtitles", "Ryuichi Sakamoto", "Documentary", "N/C 15+", ""
11199, 2024-03-04, "Opus: Ryuichi Sakamoto", 103, "Composer Ryuichi Sakamoto takes centre stage with his piano in this intimate and moving concert-style film featuring music from across his whole career.  Oscar-winning Japanese composer Ryuichi Sakamoto found his way to the hearts of millions with his music, including his scores for films as diverse as Merry Christmas, Mr. Lawrence, The Last Emperor and The Revenant. He died from cancer at the age of 71 in March 2023, and in this intimate concert-style film his son Neo Sora gracefully captures one of his father’s final performances with a piano. Featuring music specially selected by Sakamoto, stretching back to his time with the Yellow Magic Orchestra, this is an elegant and elegiac journey through the maestro’s long and varied career.    Japanese with English subtitles", "Ryuichi Sakamoto", "Documentary", "N/C 15+", ""
11215, 2024-03-03, "The Burning Season", 89, "The story of a long-running love affair linked to an incident from the past unspools backwards to reveal its secrets in a twisty tale of a bad romance.  Married couple Alena (Sara Canning) and Tom (Joe Pingue) have been visiting the Luna Lake cabins every summer for years. This year is different because their friends and resort owners JB (Jonas Chernick, The End of Sex) and Poppy (Tanisha Thammavongsa) are getting married. The wedding ends in disaster when news of an explosive affair is revealed. This is just the beginning - or, perhaps, the end - of Sean Garrity’s gripping and twisty tale of trauma and bad romance that gradually unfolds backwards in time until the secrets of a summer in the same spot long ago are revealed. ", "Sara Canning, Jonas Chernick, Joe Pingue", "Romance", "N/C 15+", "Drug Use, Strong Language, Mild physical violence, Mild nudity, Mild sexual references"
11215, 2024-03-04, "The Burning Season", 89, "The story of a long-running love affair linked to an incident from the past unspools backwards to reveal its secrets in a twisty tale of a bad romance.  Married couple Alena (Sara Canning) and Tom (Joe Pingue) have been visiting the Luna Lake cabins every summer for years. This year is different because their friends and resort owners JB (Jonas Chernick, The End of Sex) and Poppy (Tanisha Thammavongsa) are getting married. The wedding ends in disaster when news of an explosive affair is revealed. This is just the beginning - or, perhaps, the end - of Sean Garrity’s gripping and twisty tale of trauma and bad romance that gradually unfolds backwards in time until the secrets of a summer in the same spot long ago are revealed. ", "Sara Canning, Jonas Chernick, Joe Pingue", "Romance", "N/C 15+", "Drug Use, Strong Language, Mild physical violence, Mild nudity, Mild sexual references"
11221, 2024-03-03, "The Vourdalak", 91, "Atmospheric gothic horror offers a twist on the vampire tale as a French noble emissary in the mid-1800s encounters a clan who are falling prey to their own patriarch.  In the 1800s an aristocrat (Kacey Mottet Klein) seeks help from a family in an Eastern European forest after an attack. They are awaiting their patriarch’s return, though he warned them not to let him enter after more than six days as he would have become a shroud and blood-sucking Vourdalak. When the day arrives, familial love could prove deadly. Mixing gothic horror with a Hammer vibe - enhanced by Super 16 film - the use of a marionette as the Vourdalak adds to the eerie retro quality. Adrien Beau’s Leo Tolstoy adaptation offers a deliciously macabre twist on the vampire genre.  French with English subtitles.", "Kacey Mottet Klein, Ariane Labed, Grégoire Colin", "Horror", "N/C 18+", "Animal Death, Murder, Strong physical violence, Blood, Strong sexual references"
11221, 2024-03-04, "The Vourdalak", 91, "Atmospheric gothic horror offers a twist on the vampire tale as a French noble emissary in the mid-1800s encounters a clan who are falling prey to their own patriarch.  In the 1800s an aristocrat (Kacey Mottet Klein) seeks help from a family in an Eastern European forest after an attack. They are awaiting their patriarch’s return, though he warned them not to let him enter after more than six days as he would have become a shroud and blood-sucking Vourdalak. When the day arrives, familial love could prove deadly. Mixing gothic horror with a Hammer vibe - enhanced by Super 16 film - the use of a marionette as the Vourdalak adds to the eerie retro quality. Adrien Beau’s Leo Tolstoy adaptation offers a deliciously macabre twist on the vampire genre.  French with English subtitles.", "Kacey Mottet Klein, Ariane Labed, Grégoire Colin", "Horror", "N/C 18+", "Animal Death, Murder, Strong physical violence, Blood, Strong sexual references"
11229, 2024-03-03, "Ninotchka", 110, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  Greta Garbo was Oscar-nominated for this sophisticated romantic comedy that sees her icy Russian diplomat's heart melting in the face of Melvyn Douglas’s charms while on a mission.  Wit, charm and sophistication come together in impeccable fashion in this masterful romantic comedy from Ernst Lubitsch. Greta Garbo was Oscar-nominated for her role as an icy Russian diplomat who is sent to Paris on government business. She meets her match in suave charmer Melvyn Douglas, who might just be the one who melts her attitude towards the decadent pleasures of the West. The delightful script, co-written by Billy Wilder, takes potshots at both communism and capitalism while still serving up a sparkling romance. The ads at the time of the film’s release claimed 'Garbo laughs'  and so will you.  English, Russian and French with English subtitles.", "Greta Garbo, Melvyn Douglas, Ina Clair", "Romantic Comedy", "U", ""
11266, 2024-03-03, "GFF Youth Takeover: Riddle of Fire", 113, "Glasgow Film Festival Young Ambassadors Present Riddle of Fire – a special screening for 15-25 card holders which will be followed by a free celebration at Civic House with food and activities, all inspired by the film and curated by our youth team.  After a trio of kids make a deal with their mum over a video game they embark on a fantasy journey in search of a speckled egg in this nostalgic charmer.  Alice, Hazel and Jodie (Phoebe Ferro, Charlie Stover and Skyler Peters) are three young kids who get up to a mountain of mischief. But when their plans to play a new video game are thwarted by a parental password, they strike a deal with their sick-in-bed mum that sees them embark on a forest quest for a speckled egg. Writer/director Weston Razooli channels 1970s nostalgia and the spirit of The Goonies and Moonrise Kingdom in this spirited charmer as the kids get themselves into increasingly difficult situations, including taking on a dangerous outfit known as The Enchanted Blade Gang.  Join us as we journey to Civic House after the screening for a woodsy odyssey of our own featuring crafts, magic and delicious food from Parveen’s canteen – all for free!  Please note tickets to the screening include a meal and entry to Civic House.", "Valentina Véliz Caileo, Daniel Antivilo", "Action", "N/C 15+", "Comic Violence, Mild Threat, Strong Language/swearing"
11130, 2024-03-04, "The Teacher", 115, "Inspired by true events, this powerful West Bank-set drama centres on a grieving schoolteacher who is attempting to keep a student out of trouble whilst engaging in his own acts of political resistance.  British-Palestinian Farah Nabulsi - who won a BAFTA for her short film The Present - returns to the West Bank for her powerful debut feature, inspired by true events. Saleh Bakri (Wajib, The Blue Caftan) plays Basem, a teacher whose student Adam (Muhammad Abed El Rahman) becomes bent on revenge. Whilst trying to keep Adam out of trouble with the help of volunteer worker Lisa (Imogen Poots), Basem is also engaged in a dangerous act of resistance. Nabulsi paints a portrait of the complex situation in the West Bank, showing that there are no easy answers.  English and Arabic with English subtitles.", "Muhammad Abed Elrahman, Nabil Al Raee, Mahmood Bakri", "Drama", "N/C 15+", "Violence, Murder"
11130, 2024-03-05, "The Teacher", 115, "Inspired by true events, this powerful West Bank-set drama centres on a grieving schoolteacher who is attempting to keep a student out of trouble whilst engaging in his own acts of political resistance.  British-Palestinian Farah Nabulsi - who won a BAFTA for her short film The Present - returns to the West Bank for her powerful debut feature, inspired by true events. Saleh Bakri (Wajib, The Blue Caftan) plays Basem, a teacher whose student Adam (Muhammad Abed El Rahman) becomes bent on revenge. Whilst trying to keep Adam out of trouble with the help of volunteer worker Lisa (Imogen Poots), Basem is also engaged in a dangerous act of resistance. Nabulsi paints a portrait of the complex situation in the West Bank, showing that there are no easy answers.  English and Arabic with English subtitles.", "Muhammad Abed Elrahman, Nabil Al Raee, Mahmood Bakri", "Drama", "N/C 15+", "Violence, Murder"
11137, 2024-03-04, "We Have Never Been Modern", 117, "Questions of gender identity, feminism and continuing attitudes towards them are explored in this beautifully crafted and moving Czech period piece that blends marital and societal drama with a mystery.  Helena (Eliska Krenkova) and Alois (Miroslav Konig) have an idyllic life in the Czechoslovak countryside, where he runs a factory and she has the run of the place. Unfolding in 1937, in the run up to the birth of their first child, rumours are rife after the body of a dead intersex child is found. When a pair of shady counterintelligence agents arrive, Helena begins her own closet investigation. As she uncovers the truth, she is forced to confront her own assumptions. Matej Chlupacek’s energetic approach uses handheld camera and animated segments, which generate a striking immediacy as the tension mounts.  Czech with English subtitles.", "Eliska Krenková, Miloslav König, Milan Ondrík", "Drama", "N/C 15+", "Medical Images, Strong Language, Mild physical violence, Blood, Mild nudity, Mild sexual references"
11137, 2024-03-05, "We Have Never Been Modern", 117, "Questions of gender identity, feminism and continuing attitudes towards them are explored in this beautifully crafted and moving Czech period piece that blends marital and societal drama with a mystery.  Helena (Eliska Krenkova) and Alois (Miroslav Konig) have an idyllic life in the Czechoslovak countryside, where he runs a factory and she has the run of the place. Unfolding in 1937, in the run up to the birth of their first child, rumours are rife after the body of a dead intersex child is found. When a pair of shady counterintelligence agents arrive, Helena begins her own closet investigation. As she uncovers the truth, she is forced to confront her own assumptions. Matej Chlupacek’s energetic approach uses handheld camera and animated segments, which generate a striking immediacy as the tension mounts.  Czech with English subtitles.", "Eliska Krenková, Miloslav König, Milan Ondrík", "Drama", "N/C 15+", "Medical Images, Strong Language, Mild physical violence, Blood, Mild nudity, Mild sexual references"
11157, 2024-03-04, "Love Jones", 124, "From the golden age of 1990s African American cinema comes Love Jones, a classically cool Black love story that made room for more diverse depictions of Black love on screen.  Boy (a poet) meets girl (a photographer) at an open mic night in a ‘90s Chicago bar. Sexy, smooth and seductive, Nina (Nia Long) and Darius (Larenz Tate) lead the ensemble cast, but the story reverberates around them and their intoxicating romance. A love story about finding the one and how being reluctant to commit can be more painful than jumping right in. Writer-director Theodore Witcher’s feature debut features a stunning soundtrack, authentic performances and perfectly placed dialogue. They don’t make them like this anymore!  The film will be accompanied by a screening of short film, Essex Girls. Director: Yero Timi-Biu UK 2023. 15 min.", "Larenz Tate, Nia Long, Isaiah Washington\n", "Drama", "PG", "Strong Language, Strong sexual references"
11160, 2024-03-04, "After Hours", 97, "GFT’s long-running Scorsese of the Month season comes to GFF for a second year, with the UK premiere of the 4K restoration of Martin Scorsese’s darkly comic tale from 1985.  Desperate to escape his mind-numbing routine, uptown Manhattan office worker Paul Hackett (Griffin Dunne) ventures downtown for a hookup with a mystery woman (Rosanna Arquette). So begins the wildest night of his life, as bizarre occurrences—involving underground-art punks, a distressed waitress, a crazed Mister Softee truck driver, and a bagel-and-cream-cheese paperweight—pile up with anxiety-inducing relentlessness and thwart his attempts to get home. The first of Scorsese’s seven collaborations with genius cinematographer Michael Ballhaus, who also shot Goodfellas and The Age of Innocence, After Hours is an often-overlooked gem from one of the greatest American filmmakers.", "Griffin Dunne, Rosanna Arquette, Verna Bloom", "Comedy", "15", "Violence, Strong sexual references"
11177, 2024-03-04, "Float - Series 2", 65, "Black Camel Pictures' award-winning drama from writer Stef Smith returns for a second series. Jade and Collette reunite 18 months after the first series as the show moves beyond the world of the swimming pool.  Black Camel Pictures' queer short-form drama from writer Stef Smith, revolving around the intense relationship that develops between lifeguards Jade (Hannah Jarrett-Scott) and Collette (Jessica Hardwick), was a BBC iPlayer hit in 2021, where it is due to return in the spring for BBC Scotland. It was also a critical success that won awards including a Royal Television Society Scotland writing prize. The second instalment sees the pair reunited 18 months after the first series. The action moves beyond the swimming pool as Jade and Collette navigate life and love within the confines of a small Scottish town.", "Jessica Hardwick, Hannah Jarrett-Scott, Gail Watson", "Drama", "N/C 15+", ""
11183, 2024-03-04, "Hounds", 94, "Set over a single night, this tightly wound thriller charts a kidnapping gone awry at the hands of a financially struggling father and son who are on a job for the local mob.   A father (Abdellatif Masstouri) and his son (Ayoub Elaïd) are trying to make ends meet. They find themselves with trouble - and a body - on their hands after taking on what should have been an easy job for the local kingpin (Abdellah Lebkiri). Kamal Lazraq’s fast-paced and tightly wound thriller follows the pair through the night-time streets of Casablanca as they try to dispose of the dead man by dawn - a task made more difficult by Hasan’s spiritual conscience. A gritty and bleak film noir with a hint of mordant humour, lent additional realism by the largely non-professional cast.                                                          Berber Languages and English with English subtitles.", "Ayoub Elaid, Abdellatif Masstouri, Mohamed Hmimsa ", "Drama", "N/C 15+", "Animal Death, Strong Language, Mild physical violence"
11183, 2024-03-05, "Hounds", 94, "Set over a single night, this tightly wound thriller charts a kidnapping gone awry at the hands of a financially struggling father and son who are on a job for the local mob.   A father (Abdellatif Masstouri) and his son (Ayoub Elaïd) are trying to make ends meet. They find themselves with trouble - and a body - on their hands after taking on what should have been an easy job for the local kingpin (Abdellah Lebkiri). Kamal Lazraq’s fast-paced and tightly wound thriller follows the pair through the night-time streets of Casablanca as they try to dispose of the dead man by dawn - a task made more difficult by Hasan’s spiritual conscience. A gritty and bleak film noir with a hint of mordant humour, lent additional realism by the largely non-professional cast.                                                          Berber Languages and English with English subtitles.", "Ayoub Elaid, Abdellatif Masstouri, Mohamed Hmimsa ", "Drama", "N/C 15+", "Animal Death, Strong Language, Mild physical violence"
11193, 2024-03-04, "Making Of", 119, "Cédric Kahn takes a swipe at capitalism in his film-within-a-film tragicomedy that sees a director struggle to get his latest film made while also grappling with his private life.  Harried filmmaker Simon (Denis Podalydès) finds the movie he is shooting about a factory staff’s fight against relocation hitting trouble. His problems include a producer (Xavier Beauvois) dead set on a happy ending and the fact that his own crew are underpaid. Meanwhile, Simon himself is being followed by aspiring young director Joseph (Stefan Crepon) who is shooting a behind-the-scenes film of events in a bid to break into the industry. Prolific French actor and director Cédric Kahn balances his plotlines carefully to deliver a bone dry social comedy that gives the tussle between creativity and capitalism a sideways glance.                                                                                French with English subtitles.", "Denis Podalydès, Jonathan Cohen, Stefan Crepon ", "Drama", "N/C 15+", "Strong Language, Strong sexual references"
11193, 2024-03-05, "Making Of", 119, "Cédric Kahn takes a swipe at capitalism in his film-within-a-film tragicomedy that sees a director struggle to get his latest film made while also grappling with his private life.  Harried filmmaker Simon (Denis Podalydès) finds the movie he is shooting about a factory staff’s fight against relocation hitting trouble. His problems include a producer (Xavier Beauvois) dead set on a happy ending and the fact that his own crew are underpaid. Meanwhile, Simon himself is being followed by aspiring young director Joseph (Stefan Crepon) who is shooting a behind-the-scenes film of events in a bid to break into the industry. Prolific French actor and director Cédric Kahn balances his plotlines carefully to deliver a bone dry social comedy that gives the tussle between creativity and capitalism a sideways glance.                                                                                French with English subtitles.", "Denis Podalydès, Jonathan Cohen, Stefan Crepon ", "Drama", "N/C 15+", "Strong Language, Strong sexual references"
11197, 2024-03-04, "Only The River Flows", 101, "This moody Asian-noir crime thriller, laced with dark humour, charts a detective’s attempts to identify a serial killer in a rural town as the secrets of the locals are gradually revealed.  A quick arrest after a murder sits uneasily with chief of police Ma Zhe (Yilong Zhu), who thinks there’s more to the story. Soon the detective is on the trail of a serial killer in a rural town in this stylish Asian-noir crime thriller set in mid-1990s China. As Ma starts to dig for the truth, gradually the secrets of the town start to surface and he finds himself on the trail of the mysterious and elusive homeless 'Mad Man' (Kang Chunlei). Shujun Wei delivers a moody puzzle box of a film, laced with dark humour and social commentary.   Mandarin with English subtitles.", "Yilong Zhu, Chloe Maayan, Tianlai Hou", "Neo-Noir", "N/C 15+", "Strong physical violence"
11197, 2024-03-05, "Only The River Flows", 101, "This moody Asian-noir crime thriller, laced with dark humour, charts a detective’s attempts to identify a serial killer in a rural town as the secrets of the locals are gradually revealed.  A quick arrest after a murder sits uneasily with chief of police Ma Zhe (Yilong Zhu), who thinks there’s more to the story. Soon the detective is on the trail of a serial killer in a rural town in this stylish Asian-noir crime thriller set in mid-1990s China. As Ma starts to dig for the truth, gradually the secrets of the town start to surface and he finds himself on the trail of the mysterious and elusive homeless 'Mad Man' (Kang Chunlei). Shujun Wei delivers a moody puzzle box of a film, laced with dark humour and social commentary.   Mandarin with English subtitles.", "Yilong Zhu, Chloe Maayan, Tianlai Hou", "Neo-Noir", "N/C 15+", "Strong physical violence"
11227, 2024-03-04, "Godfather: Part II, The", 202, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  Francis Ford Coppola’s Mafia masterwork is both a sequel and a prequel to The Godfather. Michael tries to legitimise his business, while flashbacks tell the story of his dad Vito.  Francis Ford Coppola’s ambitious Mafia epic won six Oscars, including Best Picture and Best Supporting Actor for Robert De Niro. It’s a crime that Al Pacino lost out in the Best Actor race for his masterful performance as Michael, now the head of the family. He faces threats from within as he aims to consolidate his power and expand the family business into Cuba with the help of ageing boss Hyman Roth (Lee Strasberg). Meanwhile, in flashbacks, we see the story of the young Vito (now played by De Niro) as he arrives as an immigrant and rises to the top.", " Al Pacino, Robert De Niro, Robert Duvall", "Crime", "15", "Strong physical violence, Blood, Domestic Abuse"
11124, 2024-03-05, "Hesitation Wound", 84, "Taut character study observing an intense 24 hours in the life of a lawyer defending a man accused of murder while, at home, she faces difficult decisions regarding her hospitalised mother.  Criminal lawyer Canan (Tülin Özen) is under pressure on the work and home front. Embroiled in a murder trial defending a mentally fragile client (Oğulcan Arman Uslu) who is accused of murdering his boss, in her off hours she argues with her sister (Gülçin Kültür Şahin) about their mother, who is on life-support in hospital. Turkish filmmaker Selman Nacar generates tension from every moment, helped by an emotionally taut performance by Özen as her character faces tough choices that extend well beyond the courtroom.  A drama that hinges on moral dilemma that highlights judicial failings and misogyny along the way.                                                             Turkish with English subtitles", "Tülin Özen, Ogulcan Arman Uslu, Gulcin Kultur Sahin", "Drama", "N/C 15+", "Gore, Self-Harm, Strong Language"
11124, 2024-03-06, "Hesitation Wound", 84, "Taut character study observing an intense 24 hours in the life of a lawyer defending a man accused of murder while, at home, she faces difficult decisions regarding her hospitalised mother.  Criminal lawyer Canan (Tülin Özen) is under pressure on the work and home front. Embroiled in a murder trial defending a mentally fragile client (Oğulcan Arman Uslu) who is accused of murdering his boss, in her off hours she argues with her sister (Gülçin Kültür Şahin) about their mother, who is on life-support in hospital. Turkish filmmaker Selman Nacar generates tension from every moment, helped by an emotionally taut performance by Özen as her character faces tough choices that extend well beyond the courtroom.  A drama that hinges on moral dilemma that highlights judicial failings and misogyny along the way.                                                             Turkish with English subtitles", "Tülin Özen, Ogulcan Arman Uslu, Gulcin Kultur Sahin", "Drama", "N/C 15+", "Gore, Self-Harm, Strong Language"
11133, 2024-03-05, "Daisies", 75, "Two young women wreak rebellious havoc in this avant-garde and subversive Czech New Wave classic that skewers authoritarianism and patriarchal ideas of cliched femininity with blackly comic exuberance.  Marie I and Marie II (Jitka Cerhová and Ivana Karbanová) may look demure when we first meet them but they’ll soon be wreaking rebellious havoc in this Czech New Wave classic. Věra Chytilová’s avant garde film is wildly inventive and subversive, using every trick in the book to add to the sense of dislocation. The Maries flirt with men but they have the upper hand, cheekily running up expensive restaurant tabs and then giving their dates the slip. Chytilová’s heroines gleefully fly in the face of authoritarianism and patriarchal expectations of femininity in this blackly comic triumph.  Czech with English subtitles", " Ivana Karbanová, Jitka Cerhová, Marie Cesková", "Comedy", "15", "Violence, Graphic nudity, Mild sexual references"
11133, 2024-03-06, "Daisies", 75, "Two young women wreak rebellious havoc in this avant-garde and subversive Czech New Wave classic that skewers authoritarianism and patriarchal ideas of cliched femininity with blackly comic exuberance.  Marie I and Marie II (Jitka Cerhová and Ivana Karbanová) may look demure when we first meet them but they’ll soon be wreaking rebellious havoc in this Czech New Wave classic. Věra Chytilová’s avant garde film is wildly inventive and subversive, using every trick in the book to add to the sense of dislocation. The Maries flirt with men but they have the upper hand, cheekily running up expensive restaurant tabs and then giving their dates the slip. Chytilová’s heroines gleefully fly in the face of authoritarianism and patriarchal expectations of femininity in this blackly comic triumph.  Czech with English subtitles", " Ivana Karbanová, Jitka Cerhová, Marie Cesková", "Comedy", "15", "Violence, Graphic nudity, Mild sexual references"
11169, 2024-03-05, "Blue Sunshine", 98, "Finely tuned drama focuses on the inner strength of a transgender teacher as she makes her transition to her new life as Bhanu while working in a conservative small-town school.  The multi-talented Samyuktha Vijayan writes, directs and stars in this finely tuned character study of a transgender woman undergoing her transition in the face of conservative Indian society. Transgender woman Bhanu (Vijayan) has been taking hormone treatment for six months but has kept her plans for transition a secret from her parents and the school where she works as a teacher under her old name of Aravind. When she finds herself under pressure to marry, she decides to embrace her new identity with the support of friends. But helping a young non-binary student (Masanth Natarajan) proves fraught with difficulty.  Tamil with English subtitles.", "Samyuktha Vijayan, Haritha, Geetha Kailasam", "Drama", "N/C 15+", "Transphobia, Mild sexual references"
11169, 2024-03-07, "Blue Sunshine", 98, "Finely tuned drama focuses on the inner strength of a transgender teacher as she makes her transition to her new life as Bhanu while working in a conservative small-town school.  The multi-talented Samyuktha Vijayan writes, directs and stars in this finely tuned character study of a transgender woman undergoing her transition in the face of conservative Indian society. Transgender woman Bhanu (Vijayan) has been taking hormone treatment for six months but has kept her plans for transition a secret from her parents and the school where she works as a teacher under her old name of Aravind. When she finds herself under pressure to marry, she decides to embrace her new identity with the support of friends. But helping a young non-binary student (Masanth Natarajan) proves fraught with difficulty.  Tamil with English subtitles.", "Samyuktha Vijayan, Haritha, Geetha Kailasam", "Drama", "N/C 15+", "Transphobia, Mild sexual references"
