11194, 2024-03-01, "Mandoob", 110, "Saudi Arabia’s gig economy is put in the spotlight in this darkly comedic tale of an overworked delivery driver whose choices lead to trouble as he tries to become a bootlegger.  The night-time streets of bustling Riyadh in Saudi Arabia take centre-stage in Ali Kalthami’s darkly farcical tale of call centre worker Fahad (Mohammed Aldokhei), whose life is built on bad choices. Moonlighting as a courier, in a bid to help pay for his elderly dad’s medical treatment, the overstretched Fahad loses his day job. Increasingly desperate, he decides to steal a batch of counterfeit whisky in order to make a quick buck but soon finds his life spiralling even further out of control. Kalthami serves up a comedic character study with a satirical edge that skewers the gig economy.          Arabic with English subtitles.", "Mohamad Aldokhei, Mohammed Altawyan, Hajar Alshammari ", "Thriller", "N/C 15+", "Strong Language, Mild physical violence"
11202, 2024-02-29, "Radical", 125, "A teacher uses unconventional methods to inspire his students in a warm-hearted true story that strikes a hopeful note without shying away from the societal struggle faced by many young people.   Crime, violence and poverty mean a teacher (Eugenio Derbez) faces a tough challenge when he takes on a class full of under-performing 12-year-olds. But the inventive teacher refuses to be beaten. He ditches fact-based learning and adopts unorthodox methods to help unlock the students’ true potential and encourage them to think for themselves. Winner of the Festival Favourite award with audiences at Sundance, Christopher Zalla’s inspirational tale is a celebration of dedication and achievement in the face of adversity.  Zalla handles this moving and uplifting Mexican true story with a light touch, plenty of humour and a lot of heart.  Spanish with English subtitles", "Eugenio Derbez, Daniel Haddad, Jennifer Trejo", "Drama", "N/C 15+", "Violence"
11202, 2024-03-01, "Radical", 125, "A teacher uses unconventional methods to inspire his students in a warm-hearted true story that strikes a hopeful note without shying away from the societal struggle faced by many young people.   Crime, violence and poverty mean a teacher (Eugenio Derbez) faces a tough challenge when he takes on a class full of under-performing 12-year-olds. But the inventive teacher refuses to be beaten. He ditches fact-based learning and adopts unorthodox methods to help unlock the students’ true potential and encourage them to think for themselves. Winner of the Festival Favourite award with audiences at Sundance, Christopher Zalla’s inspirational tale is a celebration of dedication and achievement in the face of adversity.  Zalla handles this moving and uplifting Mexican true story with a light touch, plenty of humour and a lot of heart.  Spanish with English subtitles", "Eugenio Derbez, Daniel Haddad, Jennifer Trejo", "Drama", "N/C 15+", "Violence"
11216, 2024-02-29, "The G", 99, "Dale Dickey (Winter’s Bone, A Love Song) stars in this pacy and complex revenge thriller that proves hell hath no fury like a grandmother scorned.  Dale Dickey (Winter’s Bone, A Love Song) is menacingly magnetic as foul-mouthed, hard-drinking bad-ass gran Ann Hunter - aka The G - in Karl R Hearne’s gritty Canadian revenge thriller. After her home and loved ones are targeted by a corrupt legal guardian (Bruce Ramsay), Ann views being moved to a care home as an act of war. She soon sets about taking back control as her granddaughter Emma (Romaine Denis) is also hatching a plan to get her out. A twisty story that makes a serious point about how society treats the elderly, packing plenty of pace and punch. ", "Dale Dickey, Romane Denis, Bruce Ramsay", "Crime", "N/C 15+", "Murder, Strong Language, Strong physical violence, Blood, Mild nudity, Mild sexual references"
11216, 2024-03-02, "The G", 99, "Dale Dickey (Winter’s Bone, A Love Song) stars in this pacy and complex revenge thriller that proves hell hath no fury like a grandmother scorned.  Dale Dickey (Winter’s Bone, A Love Song) is menacingly magnetic as foul-mouthed, hard-drinking bad-ass gran Ann Hunter - aka The G - in Karl R Hearne’s gritty Canadian revenge thriller. After her home and loved ones are targeted by a corrupt legal guardian (Bruce Ramsay), Ann views being moved to a care home as an act of war. She soon sets about taking back control as her granddaughter Emma (Romaine Denis) is also hatching a plan to get her out. A twisty story that makes a serious point about how society treats the elderly, packing plenty of pace and punch. ", "Dale Dickey, Romane Denis, Bruce Ramsay", "Crime", "N/C 15+", "Murder, Strong Language, Strong physical violence, Blood, Mild nudity, Mild sexual references"
11230, 2024-02-29, "Only Angels Have Wings", 121, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  Howard Hawks’ energetic adventure yarn stars Cary Grant as the hardened head of an air freight company and Jean Arthur as a quick-witted chorus girl who might just win his heart.  Cary Grant stars as Geoff, the hardened head of an air freight company in Howard Hawks' melodramatic and claustrophobic tale of courage under fire. His job is to send pilots on dangerous missions through the Andes mountains - a task the men relish despite the risk. Jean Arthur is Bonnie, an itinerant and self-sufficient chorus girl who, upon getting stranded with Carter and his entourage, decides to stay and becomes bent on convincing him to give love another try after Rita Hayworth’s Judy broke his heart. Hawks brings verve to this cracking adventure yarn, which was Oscar-nominated for its visual effects.", "Cary Grant, Jean Arthur, Rita Hayworth", "Drama", "U", "Threat"
11237, 2024-02-29, "Morocco + Recorded Introduction and Panel Discussion", 92, "Cabaret singer Amy Jolly (Marlene Dietrich) spots a Legionnaire (Gary Cooper) at the nightclub where she performs and the two begin a tempestuous affair.   Morocco ushered Marlene Dietrich into Hollywood and cemented her star-image as a chic, suit-wearing seductress. Her appearance in the film flows between masculine and feminine, and the tuxedo became not only a symbol of the independent ‘Modern Woman’ who wore trousers but one which had a lasting legacy in the construction of queer coding.                                         English, Spanish, French, Arabic and Italian with English subtitles.", "Gary Cooper, Marlene Dietrich, Adolphe Menjou", "Drama", "U", "Mild physical violence, Mild sexual references"
11241, 2024-02-29, "Flying Down to Rio + Intro from Invisible Women", 89, " Dolores del Río plays a Brazilian aristocratic beauty caught in a love triangle in this delightfully frothy Golden Age Hollywood musical, co-starring Fred Astaire and Ginger Rogers.  In this delightfully frothy Golden Age Hollywood confection, Dolores del Río stars as a Brazilian aristocratic beauty caught in a love triangle between her dubious fiance (Raul Roulien) and a dashing US band leader (Gene Raymond). Ostensibly set in Rio de Janeiro, the film presents an idealised vision of a pan-Latin paradise, but despite the stereotyping del Río’s performance sizzles with vivacity, charm and a dash of pre-code sauce. Flying Down to Rio also has the distinction of debuting the first on-screen partnership between Fred Astaire and Ginger Rogers, and an extended central dance sequence is a highlight - as is the gloriously preposterous finale, an aerial ballet which unfolds on the wings of a plane.  English and Portuguese with English subtitles.  This screening will be introduced by Invisible Women. With thanks to the BBC", "Dolores del Rio, Gene Raymond, Raul Roulien", "Comedy", "U", ""
11132, 2024-03-01, "Brothers", 135, "Czechia’s nomination for this year’s Best International Feature Oscar recounts the gripping true story of the Mašín brother’s anti-Communist resistance and their attempt to flee to the West in 1953.  Official Entry: Czechia - Best International Feature - 96th Academy Awards®  Seven decades after brothers Josef and Ctirad Mašín led an armed resistance to the Communist regime before attempting to flee to the West, their story is grippingly brought to the big screen. Oskar Hes and Jan Nedbal star as the brothers, who take up arms after their mother (Tatiana Dyková) refuses to fall in line with the totalitarian state. As their campaign becomes increasingly violent, a dogged security officer (Stefan Konarske), is put on their trail. Tomas Mašín’s film, which is Czechia’s submission for this year’s Best International Feature Oscar, is a tense and compelling portrait of family and resistance.                                                                               Czech with English subtitles.", "Oskar Hes, Jan Nedbal, Adam Ernest", "Action", "N/C 15+", "Violence"
11132, 2024-03-02, "Brothers", 135, "Czechia’s nomination for this year’s Best International Feature Oscar recounts the gripping true story of the Mašín brother’s anti-Communist resistance and their attempt to flee to the West in 1953.  Official Entry: Czechia - Best International Feature - 96th Academy Awards®  Seven decades after brothers Josef and Ctirad Mašín led an armed resistance to the Communist regime before attempting to flee to the West, their story is grippingly brought to the big screen. Oskar Hes and Jan Nedbal star as the brothers, who take up arms after their mother (Tatiana Dyková) refuses to fall in line with the totalitarian state. As their campaign becomes increasingly violent, a dogged security officer (Stefan Konarske), is put on their trail. Tomas Mašín’s film, which is Czechia’s submission for this year’s Best International Feature Oscar, is a tense and compelling portrait of family and resistance.                                                                               Czech with English subtitles.", "Oskar Hes, Jan Nedbal, Adam Ernest", "Action", "N/C 15+", "Violence"
