"Made in England: The Films of Powell & Pressburger","2024/03/06 15:15",129,"GFT 1","Directing great, Martin Scorsese, offers a personal consideration of the work and influence of Michael Powell and Emeric Pressburger, who made classics including The Red Shoes and A Matter of Life and Death.

Directing great, Martin Scorsese, offers an intimate and personal consideration of the work and influence of fellow filmmakers Michael Powell and Emeric Pressburger. Responsible for classics including The Red Shoes, A Matter of Life and Death, The Life and Death of Colonel Blimp and Black Narcissus, the filmmaking duo left an indelible mark on the world of cinema. They also had a formative influence on the Killers of The Flower Moon director from an early age and in David Hinton’s documentary, he reflects on how they not only shaped his own filmmaking but on a later friendship he developed with Powell. ","Martin Scorsese, Michael Powell, Emeric Pressburger ","Documentary ","","David Hinton","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/4hwjp3s7iad3ca8bd76sn1kpbzpl"
"Making Of","2024/03/04 18:00",119,"Cineworld Screen 2","Cédric Kahn takes a swipe at capitalism in his film-within-a-film tragicomedy that sees a director struggle to get his latest film made while also grappling with his private life.

Harried filmmaker Simon (Denis Podalydès) finds the movie he is shooting about a factory staff’s fight against relocation hitting trouble. His problems include a producer (Xavier Beauvois) dead set on a happy ending and the fact that his own crew are underpaid. Meanwhile, Simon himself is being followed by aspiring young director Joseph (Stefan Crepon) who is shooting a behind-the-scenes film of events in a bid to break into the industry. Prolific French actor and director Cédric Kahn balances his plotlines carefully to deliver a bone dry social comedy that gives the tussle between creativity and capitalism a sideways glance.                                                                              

French with English subtitles.","Denis Podalydès, Jonathan Cohen, Stefan Crepon ","Drama","Comedy","Cédric Kahn","N/C 15+","Strong Language, Strong sexual references","","https://www.youtube.com/watch?v=EOja1iPyhZI","https://indy-systems.imgix.net/3mpgy0l8c7pnw8era80ad31zccfp"
"Making Of","2024/03/05 15:15",119,"Cineworld Screen 2","Cédric Kahn takes a swipe at capitalism in his film-within-a-film tragicomedy that sees a director struggle to get his latest film made while also grappling with his private life.

Harried filmmaker Simon (Denis Podalydès) finds the movie he is shooting about a factory staff’s fight against relocation hitting trouble. His problems include a producer (Xavier Beauvois) dead set on a happy ending and the fact that his own crew are underpaid. Meanwhile, Simon himself is being followed by aspiring young director Joseph (Stefan Crepon) who is shooting a behind-the-scenes film of events in a bid to break into the industry. Prolific French actor and director Cédric Kahn balances his plotlines carefully to deliver a bone dry social comedy that gives the tussle between creativity and capitalism a sideways glance.                                                                              

French with English subtitles.","Denis Podalydès, Jonathan Cohen, Stefan Crepon ","Drama","Comedy","Cédric Kahn","N/C 15+","Strong Language, Strong sexual references","","https://www.youtube.com/watch?v=EOja1iPyhZI","https://indy-systems.imgix.net/3mpgy0l8c7pnw8era80ad31zccfp"
"Mandoob","2024/02/29 18:15",110,"Cineworld Screen 1","Saudi Arabia’s gig economy is put in the spotlight in this darkly comedic tale of an overworked delivery driver whose choices lead to trouble as he tries to become a bootlegger.

The night-time streets of bustling Riyadh in Saudi Arabia take centre-stage in Ali Kalthami’s darkly farcical tale of call centre worker Fahad (Mohammed Aldokhei), whose life is built on bad choices. Moonlighting as a courier, in a bid to help pay for his elderly dad’s medical treatment, the overstretched Fahad loses his day job. Increasingly desperate, he decides to steal a batch of counterfeit whisky in order to make a quick buck but soon finds his life spiralling even further out of control. Kalthami serves up a comedic character study with a satirical edge that skewers the gig economy.        

Arabic with English subtitles.","Mohamad Aldokhei, Mohammed Altawyan, Hajar Alshammari ","Thriller","","Ali Kalthami","N/C 15+","Strong Language, Mild physical violence","","https://www.youtube.com/watch?v=mKsD4FyQ124","https://indy-systems.imgix.net/qiysynfoovm200uj5axr6s7ny9ig"
"Mandoob","2024/03/01 15:30",110,"Cineworld Screen 1","Saudi Arabia’s gig economy is put in the spotlight in this darkly comedic tale of an overworked delivery driver whose choices lead to trouble as he tries to become a bootlegger.

The night-time streets of bustling Riyadh in Saudi Arabia take centre-stage in Ali Kalthami’s darkly farcical tale of call centre worker Fahad (Mohammed Aldokhei), whose life is built on bad choices. Moonlighting as a courier, in a bid to help pay for his elderly dad’s medical treatment, the overstretched Fahad loses his day job. Increasingly desperate, he decides to steal a batch of counterfeit whisky in order to make a quick buck but soon finds his life spiralling even further out of control. Kalthami serves up a comedic character study with a satirical edge that skewers the gig economy.        

Arabic with English subtitles.","Mohamad Aldokhei, Mohammed Altawyan, Hajar Alshammari ","Thriller","","Ali Kalthami","N/C 15+","Strong Language, Mild physical violence","","https://www.youtube.com/watch?v=mKsD4FyQ124","https://indy-systems.imgix.net/qiysynfoovm200uj5axr6s7ny9ig"
"María Candelaria + Intro from Invisible Women","2024/03/07 12:45",102,"GFT 1","This luminous melodrama was the first Latin American film to win the Palme d’Or. Dolores del Río stars in her most iconic role, as a young Indigenous woman shunned by her community due to social stigma.

This luminous classic melodrama is a defining work of Mexico's cinematic Golden Age. In perhaps her most iconic performance, del Río plays the title character, a young Indigenous woman shunned by her people as the daughter of a sex worker, whose only protection comes from the young man who loves her (Pedro Armendáriz). The floating gardens of Mexico City’s Xochimilco district serve as a stunning backdrop for an epic tragedy. María Candelaria is one of several turbulent, but successful collaborations with the formidable director Emilio ‘El Indio’ Fernández and was the first Latin American film to win the Palme d’Or at Cannes, representing a major breakthrough for the region’s cinema on the world stage. 

Spanish with English subtitles.

This screening will be introduced by Invisible Women.
With thanks to Televisa","Dolores del Rio, Pedro Armendáriz, Alberto Galán","Drama","","Emilio Fernández","N/C 15+","Thematically explores Racism Against Indigenous People","Wild Flower, Flaming Star: The Films of Dolores Del Rio","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/7v6c0ue0dp9vhs74n6txkohzc7m9"
"Martinez","2024/02/29 21:00",93,"Cineworld Screen 2","Droll but sensitive comedy sees an ageing and curmudgeonly office worker on the cusp of retirement discover there’s more to life than he thought after the death of his neighbour.

A pitch-perfect performance from Francisco Reyes (who provided memorable support in A Fantastic Woman) helps Martinez gain a place among cinema’s great curmudgeons. Martinez, an office worker on the cusp of retirement, whose life is one of solitary dull routine, is less than happy when he’s told to train up his enthusiastic replacement Pablo (Humberto Busto). But could the unexpected death of Martinez’s neighbour prove there’s still some life in the old dog yet? First-time director Lorena Padilla brings a sweet-natured charm and droll sense of humour to her tale of new beginnings being found in unexpected places.

Spanish with English subtitles.","Humberto Busto, Martha Claudia Moreno, Francisco Reyes","Comedy","Drama","Lorena Padilla","N/C 15+","Mild sexual references","","https://www.youtube.com/watch?v=fzv40YIK8qg","https://indy-systems.imgix.net/u30cebnhb6jh86c6b25vbscs4uky"
"Martinez","2024/03/01 16:00",93,"GFT 2","Droll but sensitive comedy sees an ageing and curmudgeonly office worker on the cusp of retirement discover there’s more to life than he thought after the death of his neighbour.

A pitch-perfect performance from Francisco Reyes (who provided memorable support in A Fantastic Woman) helps Martinez gain a place among cinema’s great curmudgeons. Martinez, an office worker on the cusp of retirement, whose life is one of solitary dull routine, is less than happy when he’s told to train up his enthusiastic replacement Pablo (Humberto Busto). But could the unexpected death of Martinez’s neighbour prove there’s still some life in the old dog yet? First-time director Lorena Padilla brings a sweet-natured charm and droll sense of humour to her tale of new beginnings being found in unexpected places.

Spanish with English subtitles.","Humberto Busto, Martha Claudia Moreno, Francisco Reyes","Comedy","Drama","Lorena Padilla","N/C 15+","Mild sexual references","","https://www.youtube.com/watch?v=fzv40YIK8qg","https://indy-systems.imgix.net/u30cebnhb6jh86c6b25vbscs4uky"
"Milk Teeth","2024/03/04 21:00",90,"GFT 2","An atmospheric survivalist drama with a fairy-tale edge sees trouble brewing for a young woman and her mother after they take in a foundling youngster against the wishes of their community.

In a near-future isolated community where suspicion and superstition thrive, Skalde (Mathilde Bundschuh) has a difficult relationship with her mother Edith (Susanne Wolff) and is still viewed as an outsider after 20 years. After mysterious young girl Meises (Viola Hinz) turns up on their doorstep the pair decide to take her in but quickly find themselves locking horns with the rest of their colony, who have a deep distrust of others and blame the incomer for recent misfortune. Sophia Bösch’s spare, survivalist drama, adapted from the book by Helene Bukowski, gives the paranoia of the modern world a mythic edge.

German with English subtitles","Mathilde Bundschuh, Susanne Wolff, Ulrich Matthes ","Thriller","Folk-Horror","Sophia Bösch","N/C 15+","Animal Death, Strong Language, Strong physical violence, Blood","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/nti9ag6gwi9yg2gz7opd2x7wyuha"
"Milk Teeth","2024/03/05 13:15",90,"GFT 2","An atmospheric survivalist drama with a fairy-tale edge sees trouble brewing for a young woman and her mother after they take in a foundling youngster against the wishes of their community.

In a near-future isolated community where suspicion and superstition thrive, Skalde (Mathilde Bundschuh) has a difficult relationship with her mother Edith (Susanne Wolff) and is still viewed as an outsider after 20 years. After mysterious young girl Meises (Viola Hinz) turns up on their doorstep the pair decide to take her in but quickly find themselves locking horns with the rest of their colony, who have a deep distrust of others and blame the incomer for recent misfortune. Sophia Bösch’s spare, survivalist drama, adapted from the book by Helene Bukowski, gives the paranoia of the modern world a mythic edge.

German with English subtitles","Mathilde Bundschuh, Susanne Wolff, Ulrich Matthes ","Thriller","Folk-Horror","Sophia Bösch","N/C 15+","Animal Death, Strong Language, Strong physical violence, Blood","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/nti9ag6gwi9yg2gz7opd2x7wyuha"
"Mom","2024/03/09 10:30",95,"GFT 1","Psychological horror about one woman who is left alone to contend with a sinister entity, determined to make her relive past tragedies on repeat and tear her from her family for good.

Meredith is a struggling mother abandoned by her family and partner after the appalling death of their newborn son. Alone in her house after separating, she becomes more and more isolated, unaware that the death of her baby has caused the birth of something far more sinister. An entity conceived from tragedy is determined to make her relive over and over again the darkest moments of her existence and keep her family forever torn apart. A striking, provocative and consuming psychological horror anchored by an incredible performance by Schitt’s Creek star Emily Hampshire. ","Emily Hampshire, Christian Convery, François Arnaud","Horror","","Adam O'Brien","N/C 18+","Psychological Horror, Threat, Mental health issues","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/zo8xtdsdei2y87yg3avkcc6cokn9"
"Morocco + Recorded Introduction and Panel Discussion","2024/02/29 18:00",92,"CCA Cinema","Cabaret singer Amy Jolly (Marlene Dietrich) spots a Legionnaire (Gary Cooper) at the nightclub where she performs and the two begin a tempestuous affair. 

Morocco ushered Marlene Dietrich into Hollywood and cemented her star-image as a chic, suit-wearing seductress. Her appearance in the film flows between masculine and feminine, and the tuxedo became not only a symbol of the independent ‘Modern Woman’ who wore trousers but one which had a lasting legacy in the construction of queer coding.                                       

English, Spanish, French, Arabic and Italian with English subtitles.","Gary Cooper, Marlene Dietrich, Adolphe Menjou","Drama","","Josef von Sternberg","U","Mild physical violence, Mild sexual references","What Will The Men Wear","https://www.youtube.com/watch?v=u80OARwTRBw","https://indy-systems.imgix.net/j4sv703hvyubj3ecffgv5edeqgmo"
"Mother, Couch","2024/03/09 18:00",96,"Cineworld Screen 1","Ewan McGregor stars, alongside Ellen Burstyn and Rhys Ifans, as a harried family man trying to get his mum to leave a furniture shop sofa in this Beckettian absurdist comedy.

Ewan McGregor’s David is having a very bad day in Niclas Larsson’s absurdist comedy, which carries echoes of Charlie Kaufman and Samuel Beckett. He’s at a furniture store with his mum (Ellen Burstyn in sparkling form) when she sits on a couch and refuses to move. Despite the help of store assistant Bella (Taylor Russell) the situation becomes increasingly surreal as the day wears on and David’s siblings, played by Rhys Ifans and Lara Flynn Boyle also arrive. An audacious and psychologically-inflected dark comedy with a strong emotional core and an all-star cast that also includes F. Murray Abraham.                                                                                               ","F. Murray Abraham, Ewan McGregor, Rhys Ifans","Comedy","","Niclas Larsson","N/C 15+","Strong Language, Mild physical violence, Blood","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/tefr2qi2jg86o5ujdnt4zsanznv3"
"Mother, Couch","2024/03/10 13:00",96,"Cineworld Screen 1","Ewan McGregor stars, alongside Ellen Burstyn and Rhys Ifans, as a harried family man trying to get his mum to leave a furniture shop sofa in this Beckettian absurdist comedy.

Ewan McGregor’s David is having a very bad day in Niclas Larsson’s absurdist comedy, which carries echoes of Charlie Kaufman and Samuel Beckett. He’s at a furniture store with his mum (Ellen Burstyn in sparkling form) when she sits on a couch and refuses to move. Despite the help of store assistant Bella (Taylor Russell) the situation becomes increasingly surreal as the day wears on and David’s siblings, played by Rhys Ifans and Lara Flynn Boyle also arrive. An audacious and psychologically-inflected dark comedy with a strong emotional core and an all-star cast that also includes F. Murray Abraham.                                                                                               ","F. Murray Abraham, Ewan McGregor, Rhys Ifans","Comedy","","Niclas Larsson","N/C 15+","Strong Language, Mild physical violence, Blood","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/tefr2qi2jg86o5ujdnt4zsanznv3"
"Mountains","2024/03/07 20:45",95,"GFT 3","Miami’s Little Haiti neighbourhood is the vibrant backdrop for this thoughtful drama about the tensions of gentrification and between the generations for a migrant demolition worker and his family.

Migrant demolition worker Xavier (Atibon Nazaire) lives in the Little Haiti neighbourhood of Miami with his wife Esperance (Sheila Anozier) and their son Junior (Chris Renois), who was born in the US. Monica Sorelle’s naturalistic drama explores the tensions between Xavier’s aspirations to build a better life for his family and his job, which is to tear down houses as the district slowly gentrifies. Sorelle builds on strong performances from her cast to paint a vivid portrait of community and family life, as Junior’s dreams of becoming a stand-up comedian also threaten to put him in conflict with his father.

Haitian, English and Spanish with English subtitles","Atibon Nazaire, Sheila Anozier, Chris Renois","Drama","","Monica Sorelle","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/hcz9xa0c3kzl64gnvx46zwgnm9w3"
"Mountains","2024/03/08 18:00",95,"GFT 3","Miami’s Little Haiti neighbourhood is the vibrant backdrop for this thoughtful drama about the tensions of gentrification and between the generations for a migrant demolition worker and his family.

Migrant demolition worker Xavier (Atibon Nazaire) lives in the Little Haiti neighbourhood of Miami with his wife Esperance (Sheila Anozier) and their son Junior (Chris Renois), who was born in the US. Monica Sorelle’s naturalistic drama explores the tensions between Xavier’s aspirations to build a better life for his family and his job, which is to tear down houses as the district slowly gentrifies. Sorelle builds on strong performances from her cast to paint a vivid portrait of community and family life, as Junior’s dreams of becoming a stand-up comedian also threaten to put him in conflict with his father.

Haitian, English and Spanish with English subtitles","Atibon Nazaire, Sheila Anozier, Chris Renois","Drama","","Monica Sorelle","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/hcz9xa0c3kzl64gnvx46zwgnm9w3"
"Mr Smith Goes To Washington","2024/03/01 10:30",129,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

A sharply scripted David and Goliath crowd pleaser, directed with panache by Frank Capra, sees James Stewart’s good-hearted small-town senator refuse to be cowed by the political corruption of Washington.

James Stewart enjoyed a career of grand roles but was arguably never better than in this Oscar-nominated performance as Jefferson Smith. Frank Capra’s consideration of political corruption, meanwhile, has lost none of its potency down the years. When a senator dies mid-term, wet-behind-the-ears patriot Smith is viewed as the perfect pawn by a cynical political machine intent on driving a lucrative bill into law. The morally upstanding Smith, however, has other ideas and sets about fighting for democracy with the help of his canny-minded secretary Clarissa (Jean Arthur, sparkling). A quick-witted and sharp-scripted crowdpleaser, featuring excellent support from Claude Rains.","James Stewart, Jean Arthur, Claude Rains","Drama","","Frank Capra","U","Mild Threat, Suicide ","Our Story So Far","https://www.youtube.com/watch?v=d3D95aEi_SE","https://indy-systems.imgix.net/pamfyq00s1b3bqs8a138bvayc4x8"
"Mr. and Mrs. Stodola","2024/02/29 20:45",107,"GFT 3","Psychologically-driven true crime thriller charting how manipulation and a malevolent marriage led to murder as a Czech couple begin to target their elderly neighbours in a twisted killing spree. 

Documentarian Petr Hátle turns his hand to fiction with this true crime tale that begins with a robbery gone wrong and quickly spirals into a dark psychological thriller of twisted romance and emotional manipulation. Czech couple Dana and Jaroslav Stodola (Lucie Zácková and Jan Hájek) think stealing their elderly neighbour’s savings will be an easy way to make some quick cash but after their mark is accidentally killed it sparks a lust for more within the pair. Hátle’s focus is not on the murders themselves but the disturbing and deadly power dynamic that develops between Dana and Jaroslav as their spree escalates.   

Czech with English subtitles.","Jan Hájek, Lucie Zácková","Drama","True Crime","Petr Hátle","N/C 15+","Murder, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Racism/ discrimination/ slurs","Country Focus","https://www.youtube.com/watch?v=4adyJxa7aQ0","https://indy-systems.imgix.net/secwpd6x0kbodw2bcfud6qrsl0xt"
"Mr. and Mrs. Stodola","2024/03/01 18:00",107,"GFT 3","Psychologically-driven true crime thriller charting how manipulation and a malevolent marriage led to murder as a Czech couple begin to target their elderly neighbours in a twisted killing spree. 

Documentarian Petr Hátle turns his hand to fiction with this true crime tale that begins with a robbery gone wrong and quickly spirals into a dark psychological thriller of twisted romance and emotional manipulation. Czech couple Dana and Jaroslav Stodola (Lucie Zácková and Jan Hájek) think stealing their elderly neighbour’s savings will be an easy way to make some quick cash but after their mark is accidentally killed it sparks a lust for more within the pair. Hátle’s focus is not on the murders themselves but the disturbing and deadly power dynamic that develops between Dana and Jaroslav as their spree escalates.   

Czech with English subtitles.","Jan Hájek, Lucie Zácková","Drama","True Crime","Petr Hátle","N/C 15+","Murder, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Racism/ discrimination/ slurs","Country Focus","https://www.youtube.com/watch?v=4adyJxa7aQ0","https://indy-systems.imgix.net/secwpd6x0kbodw2bcfud6qrsl0xt"
"Ninotchka","2024/03/03 10:30",110,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

Greta Garbo was Oscar-nominated for this sophisticated romantic comedy that sees her icy Russian diplomat's heart melting in the face of Melvyn Douglas’s charms while on a mission.

Wit, charm and sophistication come together in impeccable fashion in this masterful romantic comedy from Ernst Lubitsch. Greta Garbo was Oscar-nominated for her role as an icy Russian diplomat who is sent to Paris on government business. She meets her match in suave charmer Melvyn Douglas, who might just be the one who melts her attitude towards the decadent pleasures of the West. The delightful script, co-written by Billy Wilder, takes potshots at both communism and capitalism while still serving up a sparkling romance. The ads at the time of the film’s release claimed 'Garbo laughs'  and so will you.

English, Russian and French with English subtitles.","Greta Garbo, Melvyn Douglas, Ina Clair","Romantic Comedy","","Ernst Lubitsch","U","","Our Story So Far","https://www.youtube.com/watch?v=mP3GmdopSiM","https://indy-systems.imgix.net/odx7edts0wabn4laq6kde5z6ojer"
"Only Angels Have Wings","2024/02/29 10:30",121,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

Howard Hawks’ energetic adventure yarn stars Cary Grant as the hardened head of an air freight company and Jean Arthur as a quick-witted chorus girl who might just win his heart.

Cary Grant stars as Geoff, the hardened head of an air freight company in Howard Hawks' melodramatic and claustrophobic tale of courage under fire. His job is to send pilots on dangerous missions through the Andes mountains - a task the men relish despite the risk. Jean Arthur is Bonnie, an itinerant and self-sufficient chorus girl who, upon getting stranded with Carter and his entourage, decides to stay and becomes bent on convincing him to give love another try after Rita Hayworth’s Judy broke his heart. Hawks brings verve to this cracking adventure yarn, which was Oscar-nominated for its visual effects.","Cary Grant, Jean Arthur, Rita Hayworth","Drama","Romance","Howard Hawks","U","Threat","Our Story So Far","https://www.youtube.com/watch?v=Cu-LBgeDJlA","https://indy-systems.imgix.net/k6713f3qhz8sxl6k08ajdqnmpark"
"Only The River Flows","2024/03/04 20:30",101,"Cineworld Screen 1","This moody Asian-noir crime thriller, laced with dark humour, charts a detective’s attempts to identify a serial killer in a rural town as the secrets of the locals are gradually revealed.

A quick arrest after a murder sits uneasily with chief of police Ma Zhe (Yilong Zhu), who thinks there’s more to the story. Soon the detective is on the trail of a serial killer in a rural town in this stylish Asian-noir crime thriller set in mid-1990s China. As Ma starts to dig for the truth, gradually the secrets of the town start to surface and he finds himself on the trail of the mysterious and elusive homeless 'Mad Man' (Kang Chunlei). Shujun Wei delivers a moody puzzle box of a film, laced with dark humour and social commentary. 

Mandarin with English subtitles.","Yilong Zhu, Chloe Maayan, Tianlai Hou","Neo-Noir","","Shujun Wei","N/C 15+","Strong physical violence","","https://www.youtube.com/watch?v=xJmG28mruCk","https://indy-systems.imgix.net/a6o911xzoahfxpf4ma7fdzamj81h"
"Only The River Flows","2024/03/05 15:30",101,"Cineworld Screen 1","This moody Asian-noir crime thriller, laced with dark humour, charts a detective’s attempts to identify a serial killer in a rural town as the secrets of the locals are gradually revealed.

A quick arrest after a murder sits uneasily with chief of police Ma Zhe (Yilong Zhu), who thinks there’s more to the story. Soon the detective is on the trail of a serial killer in a rural town in this stylish Asian-noir crime thriller set in mid-1990s China. As Ma starts to dig for the truth, gradually the secrets of the town start to surface and he finds himself on the trail of the mysterious and elusive homeless 'Mad Man' (Kang Chunlei). Shujun Wei delivers a moody puzzle box of a film, laced with dark humour and social commentary. 

Mandarin with English subtitles.","Yilong Zhu, Chloe Maayan, Tianlai Hou","Neo-Noir","","Shujun Wei","N/C 15+","Strong physical violence","","https://www.youtube.com/watch?v=xJmG28mruCk","https://indy-systems.imgix.net/a6o911xzoahfxpf4ma7fdzamj81h"
"Opening Gala: Love Lies Bleeding","2024/02/28 19:00",104,"GFT 3","Love and violence come together in an explosive cocktail in this thriller starring Kristen Stewart as a gym manager who falls for a bodybuilder, with dangerous implications for them both.

When gym manager Lou (Kristen Stewart) meets bodybuilder Jackie (Katy O’Brian) as she heads through town for Las Vegas, the pair embark on a romance. But their burgeoning feelings for one another come under threat thanks to the criminal activities of Lou’s family. Rose Glass achieved critical acclaim with her chilling British-set debut Saint Maud. Here she proves equally adept at embracing small-town Americana to craft a sharply stylish thriller that packs plenty of emotional heat. Beyond the gripping central performances, Ed Harris offers menacing support as Lou’s ne’er do well father, who has attracted the attention of the FBI. 

This screening is rated N/C 18+ due to the sale of alcoholic refreshments.","Anna Baryshnikov, Kristen Stewart, Dave Franco","Action","Crime, Adventure","Rose Glass","N/C 18+","Strong Physical Violence, Strong Sexual References, Mild Nudity, Murder, Blood/Gore","Gala","https://www.youtube.com/watch?v=BF_J3-DmiS0?si=veWVpxc0jTcPJrOp","https://indy-systems.imgix.net/ynxj3rda60aw4x3hy7wk8bstm6co"
"Opening Gala: Love Lies Bleeding","2024/02/28 19:00",104,"GFT 1","Love and violence come together in an explosive cocktail in this thriller starring Kristen Stewart as a gym manager who falls for a bodybuilder, with dangerous implications for them both.

When gym manager Lou (Kristen Stewart) meets bodybuilder Jackie (Katy O’Brian) as she heads through town for Las Vegas, the pair embark on a romance. But their burgeoning feelings for one another come under threat thanks to the criminal activities of Lou’s family. Rose Glass achieved critical acclaim with her chilling British-set debut Saint Maud. Here she proves equally adept at embracing small-town Americana to craft a sharply stylish thriller that packs plenty of emotional heat. Beyond the gripping central performances, Ed Harris offers menacing support as Lou’s ne’er do well father, who has attracted the attention of the FBI. 

This screening is rated N/C 18+ due to the sale of alcoholic refreshments.","Anna Baryshnikov, Kristen Stewart, Dave Franco","Action","Crime, Adventure","Rose Glass","N/C 18+","Strong Physical Violence, Strong Sexual References, Mild Nudity, Murder, Blood/Gore","Gala","https://www.youtube.com/watch?v=BF_J3-DmiS0?si=veWVpxc0jTcPJrOp","https://indy-systems.imgix.net/ynxj3rda60aw4x3hy7wk8bstm6co"
"Opponent","2024/03/08 20:15",119,"GFT 3","A professional wrestler forced to flee Iran with his family grapples with the Swedish asylum system and his own past and desires in this intense and moving character-driven drama.

Official Entry: Sweden - Best International Feature - 96th Academy Awards®

Iman (Payman Maadi), his wife Maryam (Marall Nasiri) and their daughters, Asal (Nicole Mehrbod) and Sahar (Diana Farzami), have fled Iran for reasons that are only gradually revealed. Seeking citizenship in snowy Sweden, Iman, who was previously a professional wrestler, decides to return to the sport in hopes of boosting their chances of asylum, against the wishes of Maryam. Soon Iman — played with an increasingly vulnerable intensity by Maadi — will not only be grappling with the authorities over their right to remain but with his very sense of self as his past actions and current desires threaten his equilibrium. 

Swedish and Persian (Farsi) with English subtitles.","Payman Maadi, Amirali Abanzad, Ahmed Abdullahi","Drama","","Milad Alami","N/C 15+","Suicide, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Flashing lights/ strobe effects","","https://www.youtube.com/watch?v=07R2q7EyAps","https://indy-systems.imgix.net/n6obajzghp9f3sxa4gqngv5ft72w"
"Opponent","2024/03/09 16:00",119,"GFT 3","A professional wrestler forced to flee Iran with his family grapples with the Swedish asylum system and his own past and desires in this intense and moving character-driven drama.

Official Entry: Sweden - Best International Feature - 96th Academy Awards®

Iman (Payman Maadi), his wife Maryam (Marall Nasiri) and their daughters, Asal (Nicole Mehrbod) and Sahar (Diana Farzami), have fled Iran for reasons that are only gradually revealed. Seeking citizenship in snowy Sweden, Iman, who was previously a professional wrestler, decides to return to the sport in hopes of boosting their chances of asylum, against the wishes of Maryam. Soon Iman — played with an increasingly vulnerable intensity by Maadi — will not only be grappling with the authorities over their right to remain but with his very sense of self as his past actions and current desires threaten his equilibrium. 

Swedish and Persian (Farsi) with English subtitles.","Payman Maadi, Amirali Abanzad, Ahmed Abdullahi","Drama","","Milad Alami","N/C 15+","Suicide, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Flashing lights/ strobe effects","","https://www.youtube.com/watch?v=07R2q7EyAps","https://indy-systems.imgix.net/n6obajzghp9f3sxa4gqngv5ft72w"
"Opus: Ryuichi Sakamoto","2024/03/03 20:30",103,"Cineworld Screen 1","Composer Ryuichi Sakamoto takes centre stage with his piano in this intimate and moving concert-style film featuring music from across his whole career.

Oscar-winning Japanese composer Ryuichi Sakamoto found his way to the hearts of millions with his music, including his scores for films as diverse as Merry Christmas, Mr. Lawrence, The Last Emperor and The Revenant. He died from cancer at the age of 71 in March 2023, and in this intimate concert-style film his son Neo Sora gracefully captures one of his father’s final performances with a piano. Featuring music specially selected by Sakamoto, stretching back to his time with the Yellow Magic Orchestra, this is an elegant and elegiac journey through the maestro’s long and varied career.  

Japanese with English subtitles","Ryuichi Sakamoto","Documentary","Music","Neo Sora","N/C 15+","","","https://www.youtube.com/watch?v=-S_mHCkxBWw","https://indy-systems.imgix.net/gd2cl9e47dk8jr8ar0h60gyk1nm5"
"Opus: Ryuichi Sakamoto","2024/03/04 18:15",103,"Cineworld Screen 1","Composer Ryuichi Sakamoto takes centre stage with his piano in this intimate and moving concert-style film featuring music from across his whole career.

Oscar-winning Japanese composer Ryuichi Sakamoto found his way to the hearts of millions with his music, including his scores for films as diverse as Merry Christmas, Mr. Lawrence, The Last Emperor and The Revenant. He died from cancer at the age of 71 in March 2023, and in this intimate concert-style film his son Neo Sora gracefully captures one of his father’s final performances with a piano. Featuring music specially selected by Sakamoto, stretching back to his time with the Yellow Magic Orchestra, this is an elegant and elegiac journey through the maestro’s long and varied career.  

Japanese with English subtitles","Ryuichi Sakamoto","Documentary","Music","Neo Sora","N/C 15+","","","https://www.youtube.com/watch?v=-S_mHCkxBWw","https://indy-systems.imgix.net/gd2cl9e47dk8jr8ar0h60gyk1nm5"
